ifi_district_name,ifi_state_context,lgd_state_code,lgd_state_name,lgd_district_code,lgd_district_name,census_2001_code,census_2011_code,census_boundary_district,census_boundary_state,censuscode,match_class,verification_status,historical_boundary_status,mapping_method,mapping_confidence,notes
Chitrakoot,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; West Bengal,9.0,Uttar Pradesh,136.0,Chitrakoot,41.0,171.0,Chitrakoot,Uttar Pradesh,171.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Chittoor,Andhra Pradesh; Madhya Pradesh,28.0,Andhra Pradesh,503.0,Chittoor,23.0,554.0,Chittoor,Andhra Pradesh,554.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Chittorgarh,Bihar; Gujarat; Haryana; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh,8.0,Rajasthan,95.0,Chittorgarh,29.0,126.0,,,,HISTORICAL_REVIEW,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,exact_name_without_complete_state_boundary_confirmation,LOW_REQUIRES_HISTORICAL_REVIEW,Identity is plausible by exact LGD name but state or Census-boundary evidence is incomplete or contradictory. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Chota Udaipur,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,,,,,,,,,,UNMATCHED,UNMATCHED,HISTORICAL_REVIEW_REQUIRED,none,NONE,No defensible LGD/Census candidate in the reviewed comparison. Existing comparison note: No exact or normalized LGD district/state candidate.
Chumanung,Jammu and Kashmir,,,,,,,,,,UNMATCHED,UNMATCHED,HISTORICAL_REVIEW_REQUIRED,none,NONE,No defensible LGD/Census candidate in the reviewed comparison. Existing comparison note: No exact or normalized LGD district/state candidate.
Churachandpur,Manipur,14.0,Manipur,254.0,Churachandpur,3.0,274.0,Churachandpur,Manipur,274.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Churu,Bihar; Gujarat; Haryana; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh,8.0,Rajasthan,96.0,Churu,4.0,102.0,Churu,Rajasthan,102.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Coimbatore,Tamil Nadu,33.0,Tamil Nadu,569.0,Coimbatore,12.0,632.0,Coimbatore,Tamil Nadu,632.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Cooch Behar,West Bengal,19.0,West Bengal,308.0,Cooch Behar,3.0,329.0,,,,HISTORICAL_REVIEW,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,exact_name_without_complete_state_boundary_confirmation,LOW_REQUIRES_HISTORICAL_REVIEW,Identity is plausible by exact LGD name but state or Census-boundary evidence is incomplete or contradictory. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Cuddalore,Tamil Nadu,33.0,Tamil Nadu,570.0,Cuddalore,18.0,617.0,Cuddalore,Tamil Nadu,617.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Cuttack,Andhra Pradesh; Assam; Bihar; Haryana; Madhya Pradesh; Odisha; Rajasthan; Uttar Pradesh; West Bengal,,,,,,,,,,UNMATCHED,UNMATCHED,HISTORICAL_REVIEW_REQUIRED,none,NONE,No defensible LGD/Census candidate in the reviewed comparison. Existing comparison note: No exact or normalized LGD district/state candidate.
Dadra And Nagar Haveli,Dadar&Nagar Haveli; Dadra and Nagar Haveli,38.0,The Dadra And Nagar Haveli And Daman And Diu,465.0,Dadra And Nagar Haveli,1.0,496.0,,,,HISTORICAL_REVIEW,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,exact_name_without_complete_state_boundary_confirmation,LOW_REQUIRES_HISTORICAL_REVIEW,Identity is plausible by exact LGD name but state or Census-boundary evidence is incomplete or contradictory. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context does not uniquely confirm LGD state name; manual review required. LGD district has no exact Census boundary pair.
Dahod,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,24.0,Gujarat,445.0,Dahod,18.0,485.0,,,,HISTORICAL_REVIEW,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,exact_name_without_complete_state_boundary_confirmation,LOW_REQUIRES_HISTORICAL_REVIEW,Identity is plausible by exact LGD name but state or Census-boundary evidence is incomplete or contradictory. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Dakshin Bastar Dantewada,Chhattisgarh,22.0,Chhattisgarh,376.0,Dakshin Bastar Dantewada,16.0,416.0,Dakshin Bastar Dantewada,Chhattisgarh,416.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Dakshin Dinajpur,Andhra Pradesh; Assam; Bihar; Haryana; Himachal Pradesh; Kerala; Madhya Pradesh; Odisha; Punjab; Uttar Pradesh; Uttar pradesh; West Bengal,19.0,West Bengal,310.0,Dakshin Dinajpur,5.0,331.0,Dakshin Dinajpur,West Bengal,331.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Dakshina Kannada,Andhra Pradesh; Assam; Karnataka; Kerala,29.0,Karnataka,534.0,Dakshina Kannada,24.0,575.0,Dakshina Kannada,Karnataka,575.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Damoh,Andhra Pradesh; Bihar; Chhattisgarh; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23.0,Madhya Pradesh,400.0,Damoh,12.0,428.0,Damoh,Madhya Pradesh,428.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Dangs,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,24.0,Gujarat,444.0,Dangs,23.0,489.0,,,,HISTORICAL_REVIEW,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,exact_name_without_complete_state_boundary_confirmation,LOW_REQUIRES_HISTORICAL_REVIEW,Identity is plausible by exact LGD name but state or Census-boundary evidence is incomplete or contradictory. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Darbhanga,Andhra Pradesh; Assam; Bihar; Gujarat; Haryana; Himachal Pradesh; Jharkhand; Kerala; Madhya Pradesh; Maharashtra; Odisha; Rajasthan; Uttar Pradesh; Uttar pradesh; West Bengal,10.0,Bihar,195.0,Darbhanga,13.0,215.0,Darbhanga,Bihar,215.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Darjeeling,Andhra Pradesh; Assam; Bihar; Haryana; Himachal Pradesh; Kerala; Madhya Pradesh; Odisha; Punjab; Uttar Pradesh; Uttar pradesh; West Bengal,19.0,West Bengal,309.0,Darjeeling,1.0,327.0,,,,HISTORICAL_REVIEW,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,exact_name_without_complete_state_boundary_confirmation,LOW_REQUIRES_HISTORICAL_REVIEW,Identity is plausible by exact LGD name but state or Census-boundary evidence is incomplete or contradictory. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Darjeelingm,West Bengal,,,,,,,,,,UNMATCHED,UNMATCHED,HISTORICAL_REVIEW_REQUIRED,none,NONE,No defensible LGD/Census candidate in the reviewed comparison. Existing comparison note: No exact or normalized LGD district/state candidate.
Darrang,Arunachal Pradesh; Assam; Bihar; Jammu and Kashmir; Kerala; Manipur; Odisha; Punjab; Uttar Pradesh; West Bengal,18.0,Assam,283.0,Darrang,8.0,325.0,Darrang,Assam,325.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Datia,Andhra Pradesh; Bihar; Chhattisgarh; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23.0,Madhya Pradesh,401.0,Datia,5.0,422.0,Datia,Madhya Pradesh,422.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Dausa,Bihar; Gujarat; Haryana; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh,8.0,Rajasthan,97.0,Dausa,11.0,109.0,Dausa,Rajasthan,109.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Davangere,Karnataka; Kerala,,,,,,,,,,UNMATCHED,UNMATCHED,HISTORICAL_REVIEW_REQUIRED,none,NONE,No defensible LGD/Census candidate in the reviewed comparison. Existing comparison note: No exact or normalized LGD district/state candidate.
Davangere����,Karnataka,,,,,,,,,,UNMATCHED,UNMATCHED,HISTORICAL_REVIEW_REQUIRED,none,NONE,No defensible LGD/Census candidate in the reviewed comparison. Existing comparison note: No exact or normalized LGD district/state candidate.
Dehradun,Uttar Pradesh; Uttarakhand,5.0,Uttarakhand,49.0,Dehradun,5.0,60.0,Dehradun,Uttarakhand,60.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Deogarh,Andhra Pradesh; Assam; Bihar; Haryana; Madhya Pradesh; Odisha; Rajasthan; Uttar Pradesh; West Bengal,,,,,,,,,,UNMATCHED,UNMATCHED,HISTORICAL_REVIEW_REQUIRED,none,NONE,No defensible LGD/Census candidate in the reviewed comparison. Existing comparison note: No exact or normalized LGD district/state candidate.
Deoghar,Bihar; Jharkhand,20.0,Jharkhand,324.0,Deoghar,7.0,350.0,Deoghar,Jharkhand,350.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Deoria,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; Uttarakhand; West Bengal,9.0,Uttar Pradesh,137.0,Deoria,60.0,190.0,Deoria,Uttar Pradesh,190.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Devbhumi Dwarka,Gujarat,24.0,Gujarat,674.0,Devbhumi Dwarka,0.0,0.0,,,,HISTORICAL_REVIEW,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,exact_name_without_complete_state_boundary_confirmation,LOW_REQUIRES_HISTORICAL_REVIEW,Identity is plausible by exact LGD name but state or Census-boundary evidence is incomplete or contradictory. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Devbhumi Dwarka Dwarka,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,,,,,,,,,,UNMATCHED,UNMATCHED,HISTORICAL_REVIEW_REQUIRED,none,NONE,No defensible LGD/Census candidate in the reviewed comparison. Existing comparison note: No exact or normalized LGD district/state candidate.
Dewas,Andhra Pradesh; Bihar; Chhattisgarh; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23.0,Madhya Pradesh,402.0,Dewas,23.0,437.0,Dewas,Madhya Pradesh,437.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Dhalai,Tripura,16.0,Tripura,269.0,Dhalai,3.0,291.0,Dhalai,Tripura,291.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Dhamtari,Chhattisgarh; Madhya Pradesh,22.0,Chhattisgarh,377.0,Dhamtari,13.0,412.0,Dhamtari,Chhattisgarh,412.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Dhanbad,Jharkhand,20.0,Jharkhand,325.0,Dhanbad,12.0,354.0,Dhanbad,Jharkhand,354.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Dhar,Andhra Pradesh; Bihar; Chhattisgarh; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23.0,Madhya Pradesh,403.0,Dhar,25.0,438.0,Dhar,Madhya Pradesh,438.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Dharashiv,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Telangana; Uttar Pradesh,27.0,Maharashtra,488.0,Dharashiv,29.0,525.0,,,,HISTORICAL_REVIEW,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,exact_name_without_complete_state_boundary_confirmation,LOW_REQUIRES_HISTORICAL_REVIEW,Identity is plausible by exact LGD name but state or Census-boundary evidence is incomplete or contradictory. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Dharmapuri,Tamil Nadu,33.0,Tamil Nadu,571.0,Dharmapuri,5.0,630.0,Dharmapuri,Tamil Nadu,630.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Dharwad,Karnataka; Kerala,29.0,Karnataka,536.0,Dharwad,9.0,562.0,Dharwad,Karnataka,562.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Dhemaji,Arunachal Pradesh; Assam; Bihar; Jammu and Kashmir; Kerala; Odisha; Punjab; Uttar Pradesh; West Bengal,18.0,Assam,284.0,Dhemaji,13.0,308.0,Dhemaji,Assam,308.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Dhenkanal,Andhra Pradesh; Assam; Bihar; Haryana; Madhya Pradesh; Odisha; Rajasthan; Uttar Pradesh; West Bengal,21.0,Odisha,352.0,Dhenkanal,14.0,383.0,Dhenkanal,Odisha,383.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Dholpur,Bihar; Gujarat; Haryana; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh,8.0,Rajasthan,98.0,Dholpur,8.0,106.0,,,,HISTORICAL_REVIEW,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,exact_name_without_complete_state_boundary_confirmation,LOW_REQUIRES_HISTORICAL_REVIEW,Identity is plausible by exact LGD name but state or Census-boundary evidence is incomplete or contradictory. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Dhubri,Arunachal Pradesh; Assam; Bihar; Jammu and Kashmir; Kerala; Odisha; Punjab; Uttar Pradesh; West Bengal,18.0,Assam,285.0,Dhubri,2.0,301.0,Dhubri,Assam,301.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
